Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25109,BATOM LÍQUIDO MATTIFY - VINHO,8.00,8.00,"R$ 34,90","R$ 17,45",100.00 %,,0,0,
25110,BATOM LÍQUIDO MATTIFY - CORAL,5.00,5.00,"R$ 34,90","R$ 9,90",252.53 %,,0,0,
25111,BATOM LÍQUIDO MATTIFY - NUDE,8.00,8.00,"R$ 34,90","R$ 17,45",100.00 %,,0,0,
25112,GLOSS LABIAL COLOUR SHINE - ROSA CINTILANTE,7.92,7.92,"R$ 29,90","R$ 14,80",102.03 %,,0,0,
25113,GLOSS LABIAL COLOUR SHINE - ROSA,5.00,5.00,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
25114,GLOSS LABIAL COLOUR SHINE - PÊSSEGO,7.20,7.20,"R$ 29,90","R$ 13,46",122.14 %,,0,0,
25115,GLOSS LABIAL COLOUR SHINE - CORAL DELICADO,7.60,7.60,"R$ 29,90","R$ 14,20",110.56 %,,0,0,
25116,BALM HYDRA LIPS,7.00,7.00,"R$ 25,90","R$ 12,95",100.00 %,,0,0,
25117,ILUMINADOR BEAUTY GLOW - GOLD,4.73,4.73,"R$ 42,90","R$ 15,00",186.00 %,,0,0,
25118,PINCEL PARA PÓ DAZZLE,.00,.00,"R$ 44,90","R$ 22,45",100.00 %,,0,0,
25119,PINCEL PARA BLUSH DAZZLE,.00,.00,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25120,PINCEL PARA CONTORNO DAZZLE,.00,.00,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25121,PINCEL PARA BASE DAZZLE,.00,.00,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25122,PINCEL CORRETIVO DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25123,PINCEL PARA SOMBRA DAZZLE,.00,.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25124,PINCEL PARA LÁBIOS DAZZLE,.00,.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25125,ESPONJA 3D DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25126,CORRETIVO COVER+ - VERDE,5.56,5.56,"R$ 33,90","R$ 10,00",239.00 %,,0,0,
25127,CORRETIVO COVER+ - AMARELO,8.00,8.00,"R$ 24,90","R$ 9,90",151.52 %,,0,0,
25128,CORRETIVO COVER+ - ROXO,5.56,5.56,"R$ 33,90","R$ 10,00",239.00 %,,0,0,
25129,CORRETIVO COVER+ - SALMAO,5.56,5.56,"R$ 33,90","R$ 10,00",239.00 %,,0,0,
25130,FINAL TOUCH - PO FINALIZADOR TRANSLUCIDO,13.00,13.00,"R$ 49,90","R$ 24,95",100.00 %,,0,0,
25131,DEFEYENE KAJAL,5.95,5.95,"R$ 31,90","R$ 13,56",135.25 %,8,"R$ 255,20","R$ 108,48",
25132,PRIMER PARA OLHOS,1.64,1.64,"R$ 35,90","R$ 14,90",140.94 %,,0,0,
25133,Chubby Iluminador,9.00,9.00,"R$ 35,90","R$ 17,95",100.00 %,,0,0,
25134,CHUBBY CONTORNO,9.00,9.00,"R$ 35,90","R$ 17,95",100.00 %,,0,0,
25135,BATOM BALA HIDRATANTE CRIS,5.30,5.30,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
25136,BATOM LIQUIDO MATTIFY - CRIS,8.00,8.00,"R$ 33,90","R$ 16,95",100.00 %,,0,0,
25137,Shape & Stay - Caneta de Sobrancelha Marrom 1,6.63,6.63,"R$ 38,90","R$ 12,90",201.55 %,,0,0,
25138,SHAPE & STAY - CANETA DE SOBRANCELHA MARROM 2,10.00,10.00,"R$ 38,90","R$ 19,45",100.00 %,,0,0,
25139,SCRUBLICIOUS - ESFOLIANTE LABIAL,7.67,7.67,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25140,Beauty Glow - Iluminador Compacto Radiant,11.00,11.00,"R$ 44,90","R$ 22,45",100.00 %,,0,0,
25141,Beauty Glow - Iluminador Compacto Summer,11.00,11.00,"R$ 44,90","R$ 22,45",100.00 %,,0,0,
25143,SUN KISSED - BRONZER COMPACTO TERRACOTA 1,11.00,11.00,"R$ 44,90","R$ 22,45",100.00 %,,0,0,
25144,Sun Kissed - Bronzer Compacto Terracota 2,11.00,11.00,"R$ 44,90","R$ 22,45",100.00 %,,0,0,
25145,PERFECT NAILS GIANDUIA,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25146,Perfect Nails Nudissimo,2.64,2.64,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
