Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25272,PALETA DE SOMBRAS DAZZLE SOFT 12 CORES,29.98,29.98,"R$ 149,90","R$ 74,95",100.00 %,1,"R$ 149,90","R$ 74,95",
25273,PALETA DE SOMBRAS DAZZLE GLAM 12 CORES,29.98,29.98,"R$ 149,90","R$ 74,95",100.00 %,1,"R$ 149,90","R$ 74,95",
25274,BATOM BALA MATTE VELVET -ROSA POP,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25275,CANETA DELINEADORA ULTRA BLACK DAZZLE,11.00,11.00,"R$ 53,90","R$ 26,95",100.00 %,,0,0,
25276,BATOM BALA -MATTE VELVET FUCSIA,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25277,BATOM BALA -MATTE VELVET CARMIN,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25278,BATOM BALA -MATTE VELVET RED PINK,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25279,BATOM BALA -MATTE VELVET BORDO,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25280,BATOM BALA -MATTE VELVET NUDE CHIC,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25281,BATOM BALA -MATE VELVET ROSA CORAL,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25282,BATOM BALA -MATE VELVET TANGERINE,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25283,BATOM BALA -MATE VELVET CAPUCCINO,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25284,BATOM BALA -MATE VELVET MARSALA,7.15,7.15,"R$ 42,90","R$ 21,46",99.91 %,,0,0,
25285,BATOM BALA - HIDRATANTE CACAU,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25286,BATOM BALA - HIDRATANTE TERRACOTA,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25287,BATOM BALA - HIDRATANTE AMENDOA,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25288,BATOM BALA - HIDRATANTE AMORA,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25289,BATOM BALA - HIDRATANTE PASSIONE,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25290,BATOM BALA - HIDRATANTE RED SUN,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25291,BATOM BALA - HIDRATANTE RED VIOLET,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25298,MASCARA DE CILIOS A PROVA D AGUA PRETA,8.98,8.98,"R$ 53,90","R$ 26,95",100.00 %,,0,0,
25300,DAZZLE PO COMPACTO VELVET CLARO 01,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25301,DAZZLE PO COMPACTO VELVET CLARO 02,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25302,DAZZLE PO COMPACTO VELVET MEDIO 01,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25303,DAZZLE PO COMPACTO VELVET MEDIO 02,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25304,DAZZLE PO COMPACTO VELVET ESCURO 01,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25305,DAZZLE PO COMPACTO VELVET ESCURO 02,9.48,9.48,"R$ 56,90","R$ 28,45",100.00 %,,0,0,
25306,DAZZLE BLUSH ROSE PEROLADO,8.31,8.31,"R$ 49,90","R$ 24,95",100.00 %,,0,0,
25307,DAZZLE BLUSH TERRACOTA PEROLADO,8.31,8.31,"R$ 49,90","R$ 24,95",100.00 %,,0,0,
25308,DAZZLE BLUSH BRONZE PEROLADO,8.31,8.31,"R$ 49,90","R$ 24,95",100.00 %,,0,0,
25327,LAPISEIRA RETRATIL SOBRANCELHA,8.15,8.15,"R$ 48,90","R$ 24,45",100.00 %,1,"R$ 48,90","R$ 24,45",
25328,BATOM BALA - HIDRATANTE ROSA LILAC,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25329,BATOM BALA - HIDRATANTE NUDE CLASSIC,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25330,BATOM BALA - HIDRATANTE NUDE ROSE,6.65,6.65,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25331,KAJAL RETRATIL,5.98,5.98,"R$ 35,90","R$ 17,95",100.00 %,,0,0,
25333,MASCARA LONG LASH,9.00,9.00,"R$ 53,90","R$ 26,95",100.00 %,,0,0,
25334,DAZZLE LÁPIS RETRÁTIL PARA OLHOS MARROM,4.98,4.98,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25344,DAZZLE LÁPIS RETRÁTIL PARA OLHOS PRETO,4.98,4.98,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
30000,AROMA DI SPRAY DE AMBIENTE BAMBOO - 240 ML,8.50,8.50,"R$ 56,00","R$ 14,00",300.00 %,,0,0,
30001,AROMA DI SPRAY DE AMBIENTE GINGER FLOWER - 240 ML,8.50,8.50,"R$ 56,00","R$ 14,00",300.00 %,,0,0,
30002,AROMA DI SPRAY AMBIENTE LAVANDA PROVENCE - 240 ML,8.50,8.50,"R$ 56,00","R$ 14,00",300.00 %,,0,0,
30003,AROMA DI SPRAY AMBIENTE VANILLE & FIGUE - 240 ML,8.50,8.50,"R$ 56,00","R$ 14,00",300.00 %,,0,0,
30004,AROMA DI DIFUSOR DE AMBIENTE BAMBOO - 250 ML,18.12,18.12,"R$ 99,00","R$ 29,90",231.10 %,,0,0,
30005,AROMA DI DIFUSOR DE AMBIENTE GINGER FLOWER- 250 ML,18.12,18.12,"R$ 99,00","R$ 29,90",231.10 %,,0,0,
30006,AROMA DI DIFUSOR AMBIENTE LAVANDA PROVENCE 250 ML,18.12,18.12,"R$ 99,00","R$ 29,90",231.10 %,,0,0,
30007,AROMA DI DIFUSOR AMBIENTE VANILLE & FIGUE - 250 ML,18.12,18.12,"R$ 99,00","R$ 29,90",231.10 %,,0,0,
30008,AROMA DI SABONETE LIQUIDO BAMBOO - 300 ML,06.09,06.09,"R$ 39,00","R$ 9,90",293.94 %,,0,0,
30009,AROMA DI SABONETE LIQUIDO GINGER FLOWER - 300 ML,06.09,06.09,"R$ 39,00","R$ 9,90",293.94 %,,0,0,
30010,AROMA DI SABONETE LIQUIDO LAVANDA PROVENCE- 300 ML,06.09,06.09,"R$ 39,00","R$ 9,90",293.94 %,,0,0,
30011,AROMA DI SABONETE LIQUIDO VANILLE & FIGUE- 300 ML,06.09,06.09,"R$ 39,00","R$ 9,90",293.94 %,,0,0,
30012,AROMA DI VELA PERFUMADA BAMBOO - 90G,12.21,12.21,"R$ 75,00","R$ 19,90",276.88 %,,0,0,
30013,AROMA DI VELA PERFUMADA GINGER FLOWER - 90G,12.21,12.21,"R$ 75,00","R$ 19,90",276.88 %,,0,0,
30014,AROMA DI VELA PERFUMADA LAVANDA PROVENCE - 90G,12.21,12.21,"R$ 75,00","R$ 19,90",276.88 %,,0,0,
30015,AROMA DI VELA PERFUMADA VANILLE & FIGUE - 90G,12.21,12.21,"R$ 75,00","R$ 19,90",276.88 %,,0,0,
30016,AROMA DI SACHE PERFUMADO BAMBOO - 15G,12.18,12.18,"R$ 49,00","R$ 19,90",146.23 %,,0,0,
30017,AROMA DI SACHE PERFUMADO GINGER FLOWER - 15G,12.18,12.18,"R$ 49,00","R$ 19,90",146.23 %,,0,0,
30018,AROMA DI SACHE PERFUMADO LAVANDA PROVENCE - 15G,12.18,12.18,"R$ 49,00","R$ 19,90",146.23 %,,0,0,
30019,AROMA DI SACHE PERFUMADO VANILLE & FIGUE - 15G,12.18,12.18,"R$ 49,00","R$ 19,90",146.23 %,,0,0,
30020,AROMA DI SABONETE EM BARRA BAMBOO - 50G,6.00,6.00,"R$ 33,00","R$ 9,90",233.33 %,,0,0,
30021,AROMA DI SABONETE EM BARRA GINGER FLOWER - 50G,6.00,6.00,"R$ 33,00","R$ 9,90",233.33 %,,0,0,
30022,AROMA DI SABONETE EM BARRA LAVANDA PROVENCE - 50G,6.00,6.00,"R$ 33,00","R$ 9,90",233.33 %,,0,0,
30023,AROMA DI SABONETE EM BARRA VANILLE & FIGUE - 50G,6.00,6.00,"R$ 33,00","R$ 9,90",233.33 %,,0,0,
35000,CORPS LIGNEA CELULIFT CREME ANTI CELULITE 150G,27.00,23.92,"R$ 84,15","R$ 42,08",99.98 %,,0,0,
35001,CORPS LIGNEA TIMELESS ANTIAGNG + FIRMADOR,22.00,23.17,"R$ 79,00","R$ 39,50",100.00 %,,0,0,
35002,CORPS LIGNEA BODY CONTOUR CREME PARA MASSAGEM 200G,13.00,12.04,"R$ 41,65","R$ 20,83",99.95 %,,0,0,
35003,CORPS LIGNEA BODY CONTOUR ESFOLIANTE CORPORAL 200G,9.35,11.46,"R$ 41,65","R$ 20,83",99.95 %,,0,0,
35004,CORPS LIGNEA HIDRA POWER HIDRATANTE PELES ULTRA RESSECADAS,19.00,19.00,"R$ 65,00","R$ 32,50",100.00 %,2,"R$ 130,00","R$ 65,00",
35005,CORPS LIGNEA BODY CONTOUR TONICO CORPORAL,16.00,14.33,"R$ 50,15","R$ 25,08",99.96 %,,0,0,
35006,CORPS LIGNEA WONDERFUL GOLD OLEO PARA AS PERNAS 150ML,13.00,13.00,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
35008,CORPS LIGNEA BODY CONTOUR GEL MODELADOR 500G,18.00,16.76,"R$ 54,00","R$ 27,00",100.00 %,5,"R$ 270,00","R$ 135,00",
35009,BOLSA LIPO MANUAL CORPS LIGNEA,.00,.00,"R$ 40,00","R$ 20,00",100.00 %,,0,0,
35010,CONCENTRADO ANTI RESSECAMENTO PARA OS PÉS HYDRA POWER 55 G,6.00,6.23,"R$ 24,90","R$ 12,45",100.00 %,,0,0,
35011,LOÇÃO DES PARA PERNAS E PES WONDERFUL PLUS CORPS LIGNEA 150,8.66,8.66,"R$ 39,00","R$ 15,60",150.00 %,,0,0,
35014,CORPS LIGNEA CREME ANTI ESTRIAS,26.05,26.05,"R$ 99,00","R$ 49,50",100.00 %,,0,0,
35015,CORPS LIGNEA GEL LIFTING BUMBUM,26.05,26.05,"R$ 99,00","R$ 49,50",100.00 %,1,"R$ 99,00","R$ 49,50",
35016,CORPS LIGNEA OLEO EM CREME ILEG POWER,23.18,23.18,"R$ 89,00","R$ 44,50",100.00 %,,0,0,
35017,CORPS LIGNEA OLEO EM CREME ILEG WARM,21.12,21.12,"R$ 79,00","R$ 39,50",100.00 %,1,"R$ 79,00","R$ 39,50",
36000,HIDRATANTE DESODORANTE CORPORAL SENS FLORALIS 290 GR,13.24,13.24,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
36001,HIDRATANTE DESODORANTE CORPORAL SENS NATURALS 290 GR,13.24,9.93,"R$ 33,75","R$ 16,88",99.94 %,,0,0,
36002,HIDRATANTE DESODORANTE CORPORAL SENS PURE 290 GR,13.24,13.24,"R$ 45,00","R$ 22,50",100.00 %,1,"R$ 45,00","R$ 22,50",
36003,SABONETE LIQUIDO CORPORAL SENS FLORALIS 300 ML,10.29,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36004,SABONETE LIQUIDO CORPORAL SENS NATURALS 300 ML,10.29,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36005,SABONETE LIQUIDO CORPORAL SENS PURE 300 ML,10.29,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36006,SABONETE BARRA SENS FLORALIS 90 G - CAIXA COM 3 UNIDADES,8.00,8.79,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
36007,SABONETE BARRA SENS NATURALS 90 G - CAIXA COM 3 UNIDADES,8.00,8.79,"R$ 29,90","R$ 14,95",100.00 %,1,"R$ 29,90","R$ 14,95",
36008,SABONETE BARRA SENS PURE 90 G - CAIXA COM 3 UNIDADES,8.00,8.79,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
36009,SABONETE LIQUIDO INTIMO SENS FLORALIS 200 ML,10.00,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36010,SABONETE LIQUIDO INTIMO SENS NATURALS 200 ML,10.00,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36011,SABONETE LIQUIDO INTIMO SENS PURE 200 ML,10.00,10.29,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
36012,DESODORANTE ROLL ON ANTITRANSPIRANTE SENS FLORALIS 55 ML,7.35,7.61,"R$ 25,90","R$ 12,95",100.00 %,,0,0,
36013,DESODORANTE ROLL ON ANTITRANSPIRANTE SENS NATURALS 55 ML,7.35,7.61,"R$ 25,90","R$ 12,95",100.00 %,,0,0,
36014,DESODORANTE ROLL ON ANTITRANSPIRANTE SENS PURE 55 ML,7.35,7.61,"R$ 25,90","R$ 12,95",100.00 %,,0,0,
36015,DESODORANTE AERSOL ANTITRANSPIRANTE SENS FLORALIS 150 ML,7.25,7.48,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
36016,DESODORANTE AEROSOL ANTITRANSPIRANTE SENS NATURALS 15O ML,7.25,7.48,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
36017,DESODORANTE AEROSOL ANTITRANSPIRANTE SENS PURE 150 ML,7.25,7.48,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
36018,GEL HIGIENIZANTE ANTISSEPTICO PARA MAOS SENS FLORALIS,1.50,1.50,"R$ 9,00","R$ 4,50",100.00 %,,0,0,
36019,GEL HIGIENIZANTE SENS NATURALS 55G,3.00,3.00,"R$ 9,90","R$ 5,94",66.67 %,4,"R$ 39,60","R$ 23,76",
36021,BODY SPLASH DESODORANTE CORPORAL SENS FLORALIS 245 ML,16.18,16.18,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36022,BODY SPLASH DESODORANTE CORPORAL SENS NATURALS 245 ML,16.18,16.18,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36023,BODY SPLASH DESODORANTE CORPORAL SENS PURE 245 ML,16.18,16.18,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36024,CREME PARA MÃOS SENS FLORALIS,7.35,7.35,"R$ 25,00","R$ 12,50",100.00 %,,0,0,
36025,CREME PARA MÃOS SENS NATURALS,7.35,7.35,"R$ 25,00","R$ 12,50",100.00 %,1,"R$ 25,00","R$ 12,50",
36026,CREME PARA MÃOS SENS PURE,7.35,7.35,"R$ 25,00","R$ 12,50",100.00 %,,0,0,
36027,LOÇÃO ESFOLIANTE CORPORAL SENS FLORALIS,13.50,13.75,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36028,LOÇÃO ESFOLIANTE CORPORAL SENS NATURALS,13.50,13.75,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36029,LOÇÃO ESFOLIANTE CORPORAL SENS PURE,13.50,13.75,"R$ 55,00","R$ 27,50",100.00 %,,0,0,
36031,SENS NATURALS GEL HIGIENIZANTE 90G,1.98,1.98,"R$ 11,90","R$ 5,95",100.00 %,,0,0,
36032,SENS ALCOOL EM GEL 220 G,2.65,2.65,"R$ 9,54","R$ 7,95",20.00 %,,0,0,
36033,SENS ALCOOL EM GEL 440G,5.98,5.98,"R$ 35,90","R$ 17,95",100.00 %,,0,0,
36034,SABONETE CREMOSO FACIAL SENS HERBALIS 250ML,9.18,9.18,"R$ 34,90","R$ 17,45",100.00 %,,0,0,
36035,DESODORANTE ROLL-ON SENS HERBALIS 55ML,5.34,5.34,"R$ 21,90","R$ 10,95",100.00 %,,0,0,
36036,SENS SABONETE LIQUIDO PARA AS MAOS NATURALS,10.98,10.98,"R$ 43,90","R$ 21,95",100.00 %,,0,0,
36037,SENS SABONETE LIQUIDO PARA AS MAOS FLORALIS,10.98,10.98,"R$ 43,90","R$ 21,95",100.00 %,,0,0,
36038,SENS SABONETE LIQUIDO PARA AS MAOS HERBALIS,10.98,10.98,"R$ 43,90","R$ 21,95",100.00 %,,0,0,
37000,PROTETOR SOLAR AEROSOL SOLARIS FPS 15,14.75,12.54,"R$ 50,15","R$ 25,08",99.96 %,,0,0,
37001,PROTETOR SOLAR AEROSOL SOLARIS FPS 30,16.25,13.81,"R$ 55,25","R$ 27,63",99.96 %,0,0,0,
37002,PROTETOR SOLAR FACIAL SOLARIS FPS 30,17.25,18.75,"R$ 75,00","R$ 37,50",100.00 %,,0,0,
37003,GEL POS SOL SOLARIS 245G,9.75,7.31,"R$ 29,25","R$ 14,63",99.93 %,,0,0,
37004,ÓLEO BRONZEADOR SOLARIS FPS 6,11.00,8.25,"R$ 33,00","R$ 16,50",100.00 %,,0,0,
37005,AUTOBRONZEADOR CORPO E ROSTO- SOLARIS,16.40,16.40,"R$ 59,00","R$ 29,50",100.00 %,,0,0,
38000,DESODORANTE ROLL ON DYNAMIC,5.00,5.17,"R$ 17,90","R$ 8,95",100.00 %,,0,0,
39000,HIDRATANTE SUBLIME PINK STRAWBERRY -200 ML,11.01,11.01,"R$ 49,90","R$ 18,71",166.70 %,,0,0,
39001,HIDRATANTE SUBLIME VIBRANT BERRY-200 ML,11.01,11.01,"R$ 37,43","R$ 18,71",100.05 %,,0,0,
39002,HIDRATANTE SUBLIME VELVET HIBISCUS -200 ML,11.01,11.01,"R$ 49,90","R$ 18,71",166.70 %,,0,0,
39003,HIDRATANTE SUBLIME SEXY VIOLET -200ML,11.01,11.01,"R$ 49,90","R$ 18,71",166.70 %,,0,0,
39004,HIDRATANTE SUBLIME DIVINE BLOSSOM 200 ML,11.01,11.01,"R$ 49,90","R$ 18,71",166.70 %,1,"R$ 49,90","R$ 18,71",
39005,HIDRATANTE SUBLIME COTTON HEART -200 ML,11.01,11.01,"R$ 37,43","R$ 18,71",100.05 %,,0,0,
40000,PRO WHITE GEL DENTAL,4.00,4.15,"R$ 14,00","R$ 7,00",100.00 %,,0,0,
40001,PRO WHITE ANTISSEPTICO BUCAL 250 ML,8.00,8.54,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
40006,GEL DENTAL CARVAO ATIVADO + ALOE VERA PRO ACTIVE -70G,7.35,7.35,"R$ 25,00","R$ 12,50",100.00 %,,0,0,
40008,GEL DENTAL PRO BASIC,2.23,2.23,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
45000,ELLA DREAM OF ME 100 ML,28.46,28.46,"R$ 129,00","R$ 48,38",166.64 %,,0,0,
45001,ELLA LOVE STORY 100 ML,36.76,37.94,"R$ 129,00","R$ 64,50",100.00 %,,0,0,
45002,ELLA FOREVER 100 ML,29.60,29.60,"R$ 125,00","R$ 50,00",150.00 %,,0,0,
45003,ELLA FIRST LOVE 100 ML,29.60,29.60,"R$ 125,00","R$ 50,00",150.00 %,,0,0,
45004,ELLA CRAZY IN LOVE 100 ML,29.60,29.60,"R$ 125,00","R$ 50,00",150.00 %,,0,0,
45005,ELLA HAPPY ROMANCE 100 ML,28.46,28.46,"R$ 129,00","R$ 48,38",166.64 %,,0,0,
45010,LATTITUDE CRUISE 100 ML,37.94,37.94,"R$ 129,00","R$ 64,50",100.00 %,,0,0,
45011,LATTITUDE OFF ROAD 100 ML,29.46,29.46,"R$ 129,00","R$ 50,00",158.00 %,,0,0,
45012,LATTITUDE HIGH SPEED 100 ML,29.46,29.46,"R$ 129,00","R$ 50,00",158.00 %,,0,0,
45013,LATTITUDE TREKKING 100 ML,29.46,29.46,"R$ 129,00","R$ 50,00",158.00 %,,0,0,
45014,LATTITUDE CITY 100 ML,29.46,29.46,"R$ 129,00","R$ 50,00",158.00 %,,0,0,
45015,LATTITUDE AEROSOL TREKKING 48 H -150ML/90G,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45016,LATTITUDE D AEROSOL HIGH SPEED 48 H -150ML/9OG,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45017,LATTITUDE AERO CITY 48 H-150ML 90G,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45018,LATTITUDE AERO OFF ROAD 48 H-150ML 90G,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45019,LATTITUDE AEROSOL CRUISE 48 H -150ML 90G,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45020,H-MEN DESOD AEROSOL MEN 48 H / ANTI TRANSP,4.64,4.64,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45021,H-MEN ESPUMA PARA BARBEAR 150ML/145G,5.31,5.31,"R$ 34,00","R$ 12,90",163.57 %,,0,0,
45022,H-MEN GEL FACEWASH - PELE NORMAL A SECA,4.57,4.57,"R$ 26,00","R$ 9,90",162.63 %,,0,0,
45023,H-MEN GEL FACEWASH - PELE NORMAL A OLEOSA,4.57,4.57,"R$ 26,00","R$ 9,90",162.63 %,,0,0,
45024,H-MEN BALM PÓS BARBA,8.00,8.00,"R$ 19,80","R$ 9,90",100.00 %,,0,0,
45025,H-MEN HIDRATANTE FACIAL,6.45,6.45,"R$ 36,00","R$ 12,90",179.07 %,,0,0,
45026,H-MEN GEL CAPILAR - FIXAÇÃO MÉDIA,5.00,5.00,"R$ 19,80","R$ 9,90",100.00 %,,0,0,
45027,H-MEN BODY WASH,6.14,6.14,"R$ 31,00","R$ 11,90",160.50 %,,0,0,
45028,H-MEN SHAMPOO PARA BARBA,5.45,5.45,"R$ 28,00","R$ 10,90",156.88 %,,0,0,
45029,H-MEN ÓLEO PARA BARBA,10.00,10.00,"R$ 38,00","R$ 15,99",137.65 %,,0,0,
45030,LATTITUDE EXPEDITION 100 ML,27.32,27.32,"R$ 129,00","R$ 46,44",177.78 %,1,"R$ 129,00","R$ 46,44",
45031,H-MEN POMADA CAPILAR,8.00,8.00,"R$ 33,80","R$ 16,90",100.00 %,,0,0,
45032,H-MEN SHAMPOO ANTI-CASPA,10.00,10.00,"R$ 39,00","R$ 19,50",100.00 %,,0,0,
45033,H-MEN SABONETE EM BARRA,2.22,2.22,"R$ 18,00","R$ 4,99",260.72 %,,0,0,
45034,H-MEN FLUIDO MULTIACTION FPS 30,15.71,15.71,"R$ 99,00","R$ 29,90",231.10 %,,0,0,
45035,DESODORANTE AEROSOL LATTITUDE EXPEDITION 150 ML,3.63,3.63,"R$ 29,90","R$ 9,90",202.02 %,,0,0,
45036,SHAMPOO ANTI-CASPA H-MEN,11.25,11.25,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
45037,SHAMPOO CABELO CORPO E BARBA H MEN,9.98,9.98,"R$ 39,90","R$ 19,95",100.00 %,0,0,0,
45038,GEL CAPILAR H MEN - 120 G,6.50,6.50,"R$ 26,00","R$ 13,00",100.00 %,,0,0,
45039,POMADA CAPILAR H-MEN -40G,6.50,4.55,"R$ 53,90","R$ 26,95",100.00 %,,0,0,
45040,ESPUMA DE BARBEAR H-MEN -150 ML,12.25,12.25,"R$ 49,00","R$ 24,50",100.00 %,0,0,0,
45041,DESODORANTE AEROSOL H MEN,8.33,8.33,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
45042,BALM HIDRATANTE PARA BARBA 100 G,9.98,9.98,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
45045,DESODORANTE ROLL ON HMEN 55ML,5.48,3.84,"R$ 21,90","R$ 10,95",100.00 %,0,0,0,
45046,BALM REFRESCANTE POS BARBA -100 G,12.98,12.98,"R$ 51,90","R$ 25,95",100.00 %,,0,0,
45049,OLEO PARA BARBA H-MEN-30 ML,12.48,12.48,"R$ 49,90","R$ 24,95",100.00 %,,0,0,
50002,EMPIRE DESODORANTE AEROSOL ANTITRANSPIRANTE 150ML,7.00,7.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
50004,EMPIRE VIP DESODORANTE AEROSOL ANTITRANSPIRANTE 15,7.00,7.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
50005,EMPIRE INTENSE DESODORANTE AEROSOL ANTI,7.00,7.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
50006,EMPIRE SPORT DESODORANTE AEROSOL ANTITRANSPIRANTE,7.00,7.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
53937,NECESSAIRE CINZA CHUMBO,.00,.00,"R$ 25,00","R$ 25,00",0.00 %,,0,0,
60000,ROUTINE AGE CONTROL EYE TREATMENT HINODE,25.00,25.00,"R$ 82,00","R$ 29,90",174.25 %,,0,0,
60001,ROUTINE AGE CONTROL ELIXIR HINODE,33.00,36.33,"R$ 120,00","R$ 60,00",100.00 %,,0,0,
60002,ROUTINE AGE CONTROL NIGHT TREATMENT HINODE,33.00,36.33,"R$ 120,00","R$ 60,00",100.00 %,,0,0,
60003,ROUTINE YOUNG SKIN COMPLEX HINODE,34.00,37.43,"R$ 120,00","R$ 60,00",100.00 %,,0,0,
60004,ROUTINE ILLUMINA SOLUTION HINODE,37.00,37.00,"R$ 120,00","R$ 60,00",100.00 %,,0,0,
60005,ROUTINE DEMAQUILANTE BIFÁSICO HINODE 200ML,11.00,11.00,"R$ 39,00","R$ 19,50",100.00 %,,0,0,
60006,ROUTINE TÔNICO FACIAL HINODE 200 ML,10.00,10.00,"R$ 35,00","R$ 17,50",100.00 %,,0,0,
60007,ROUTINE GEL DE LIMPEZA FACIAL - PELE NORMAL/MISTA,10.00,10.91,"R$ 34,90","R$ 17,45",100.00 %,,0,0,
60008,ROUTINE GEL DE LIMPEZA FACIAL - PELE OLEOSA HINODE,10.00,10.91,"R$ 34,90","R$ 17,45",100.00 %,0,0,0,
60009,ROUTINE GEL DE LIMPEZA FACIAL - PELE SECA HINODE,10.00,10.91,"R$ 34,90","R$ 17,45",100.00 %,,0,0,
60010,ROUTINE ESFOLIANTE FACIAL PELE NORMAL/MISTA HINODE,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60011,ROUTINE ESFOLIANTE FACIAL - PELE OLEOSA HINODE,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60012,ROUTINE ESFOLIANTE FACIAL - PELE SECA HINODE,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60013,ROUTINE HIDRATANTE FACIAL PELE NORMAL/MISTA HINODE,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60014,ROUTINE HIDRATANTE FACIAL - PELE OLEOSA,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60015,ROUTINE HIDRATANTE FACIAL - PELE SECA HINODE,11.00,12.19,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
60016,ROUTINE YOUNG SKIN OLHOS HINODE,14.00,14.00,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
60017,ROUTINE AGE CONTROL DAY TREATMENT HINODE,33.00,33.00,"R$ 109,00","R$ 54,50",100.00 %,,0,0,
60018,ROUTINE QUICK DETOX MÁSCARA FACIAL PURIFICANTE,13.00,13.93,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
60019,ROUTINE SUPER HYDRAT MÁSCARA FACIAL HIDRATANTE,13.00,13.93,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
60020,ROUTINE FLASH ENERGY MÁSCARA FACIAL REENERGIZANTE,13.00,13.93,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
